Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Tue Oct 29 2002,7:30p,Philadelphia 76ers,88,Orlando Magic,95,Box Score,,15225,
Tue Oct 29 2002,10:00p,Cleveland Cavaliers,67,Sacramento Kings,94,Box Score,,17317,
Tue Oct 29 2002,10:30p,San Antonio Spurs,87,Los Angeles Lakers,82,Box Score,,18997,
Wed Oct 30 2002,7:00p,Chicago Bulls,99,Boston Celtics,96,Box Score,,18624,
Wed Oct 30 2002,7:00p,Washington Wizards,68,Toronto Raptors,74,Box Score,,20165,
Wed Oct 30 2002,7:00p,Milwaukee Bucks,93,Philadelphia 76ers,95,Box Score,,19569,
Wed Oct 30 2002,7:00p,Houston Rockets,82,Indiana Pacers,91,Box Score,,16469,
Wed Oct 30 2002,7:30p,Atlanta Hawks,94,New Jersey Nets,105,Box Score,,16324,
Wed Oct 30 2002,7:30p,Orlando Magic,100,Miami Heat,86,Box Score,,16500,
Wed Oct 30 2002,8:00p,Denver Nuggets,77,Minnesota Timberwolves,83,Box Score,,16113,
Wed Oct 30 2002,8:00p,Dallas Mavericks,119,Memphis Grizzlies,108,Box Score,,16638,
Wed Oct 30 2002,8:00p,New York Knicks,77,Detroit Pistons,86,Box Score,,22076,
Wed Oct 30 2002,8:30p,Utah Jazz,75,New Orleans Hornets,100,Box Score,,17668,
Wed Oct 30 2002,9:30p,Los Angeles Lakers,90,Portland Trail Blazers,102,Box Score,,20225,
Wed Oct 30 2002,10:00p,Phoenix Suns,73,Seattle SuperSonics,86,Box Score,,14002,
Wed Oct 30 2002,10:30p,Cleveland Cavaliers,98,Los Angeles Clippers,96,Box Score,,16822,
Wed Oct 30 2002,10:30p,San Antonio Spurs,98,Golden State Warriors,106,Box Score,,13261,
Thu Oct 31 2002,7:30p,Utah Jazz,98,Atlanta Hawks,105,Box Score,,14155,
Thu Oct 31 2002,7:30p,Boston Celtics,69,Washington Wizards,114,Box Score,,20173,
Thu Oct 31 2002,10:00p,Portland Trail Blazers,72,Sacramento Kings,100,Box Score,,17317,
Fri Nov 1 2002,7:30p,Indiana Pacers,91,New Jersey Nets,102,Box Score,,11156,
Fri Nov 1 2002,8:00p,Memphis Grizzlies,86,Detroit Pistons,109,Box Score,,18113,
Fri Nov 1 2002,8:00p,Orlando Magic,105,Minnesota Timberwolves,111,Box Score,,14117,
Fri Nov 1 2002,8:00p,New York Knicks,86,Philadelphia 76ers,98,Box Score,,18298,
Fri Nov 1 2002,8:30p,New Orleans Hornets,79,Chicago Bulls,84,Box Score,,21246,
Fri Nov 1 2002,8:30p,Toronto Raptors,72,San Antonio Spurs,91,Box Score,,18787,
Fri Nov 1 2002,9:00p,Houston Rockets,83,Denver Nuggets,74,Box Score,,18030,
Fri Nov 1 2002,9:00p,Cleveland Cavaliers,74,Phoenix Suns,78,Box Score,,16133,
Fri Nov 1 2002,10:30p,Seattle SuperSonics,106,Golden State Warriors,93,Box Score,,12121,
Fri Nov 1 2002,10:30p,Los Angeles Lakers,108,Los Angeles Clippers,93,Box Score,,20474,
Sat Nov 2 2002,7:00p,Chicago Bulls,92,Atlanta Hawks,98,Box Score,,15572,
Sat Nov 2 2002,7:00p,Minnesota Timberwolves,80,Indiana Pacers,87,Box Score,,16058,
Sat Nov 2 2002,7:00p,New Jersey Nets,87,Washington Wizards,79,Box Score,,20173,
Sat Nov 2 2002,7:30p,Boston Celtics,117,New York Knicks,107,Box Score,,19763,
Sat Nov 2 2002,8:00p,Sacramento Kings,116,Memphis Grizzlies,99,Box Score,,17112,
Sat Nov 2 2002,8:30p,Phoenix Suns,83,Dallas Mavericks,97,Box Score,,19783,
Sat Nov 2 2002,8:30p,Toronto Raptors,76,Houston Rockets,88,Box Score,,16285,
Sat Nov 2 2002,8:30p,Orlando Magic,100,Milwaukee Bucks,90,Box Score,,16713,
Sat Nov 2 2002,8:30p,Miami Heat,95,New Orleans Hornets,100,Box Score,,15419,
Sat Nov 2 2002,9:00p,Golden State Warriors,92,Utah Jazz,101,Box Score,,19098,
Sat Nov 2 2002,10:00p,Denver Nuggets,96,Portland Trail Blazers,79,Box Score,,19991,
Sun Nov 3 2002,3:30p,Detroit Pistons,72,Los Angeles Clippers,74,Box Score,,14275,
Sun Nov 3 2002,6:00p,Sacramento Kings,78,Miami Heat,88,Box Score,,15468,
Sun Nov 3 2002,9:00p,Utah Jazz,77,Seattle SuperSonics,91,Box Score,,13037,
Sun Nov 3 2002,9:30p,Portland Trail Blazers,95,Los Angeles Lakers,98,Box Score,OT,18997,
Mon Nov 4 2002,7:00p,Chicago Bulls,105,Toronto Raptors,109,Box Score,OT,17441,
Mon Nov 4 2002,7:30p,Minnesota Timberwolves,82,New Jersey Nets,106,Box Score,,14076,
Mon Nov 4 2002,7:30p,Milwaukee Bucks,97,New York Knicks,88,Box Score,,18100,
Mon Nov 4 2002,8:00p,San Antonio Spurs,103,Memphis Grizzlies,101,Box Score,OT,12226,
Mon Nov 4 2002,8:30p,Golden State Warriors,100,Dallas Mavericks,107,Box Score,,19368,
Mon Nov 4 2002,9:00p,Detroit Pistons,84,Phoenix Suns,82,Box Score,,13256,
Tue Nov 5 2002,7:00p,Los Angeles Lakers,70,Cleveland Cavaliers,89,Box Score,,19833,
Tue Nov 5 2002,7:00p,Sacramento Kings,121,Orlando Magic,125,Box Score,,14292,
Tue Nov 5 2002,7:30p,Indiana Pacers,83,Miami Heat,79,Box Score,,15068,
Tue Nov 5 2002,8:00p,Washington Wizards,86,Minnesota Timberwolves,90,Box Score,,18009,
Tue Nov 5 2002,8:30p,Seattle SuperSonics,104,Houston Rockets,97,Box Score,,10018,
Tue Nov 5 2002,8:30p,Golden State Warriors,73,San Antonio Spurs,93,Box Score,,14474,
Tue Nov 5 2002,9:00p,Atlanta Hawks,103,Denver Nuggets,87,Box Score,,10073,
Wed Nov 6 2002,7:00p,Sacramento Kings,88,New York Knicks,95,Box Score,,19763,
Wed Nov 6 2002,7:00p,Los Angeles Clippers,99,Philadelphia 76ers,101,Box Score,OT,16651,
Wed Nov 6 2002,7:00p,Dallas Mavericks,106,Toronto Raptors,92,Box Score,,19800,
Wed Nov 6 2002,7:00p,Cleveland Cavaliers,100,Washington Wizards,107,Box Score,,20173,
Wed Nov 6 2002,8:30p,Boston Celtics,91,Chicago Bulls,69,Box Score,,19167,
Wed Nov 6 2002,8:30p,Seattle SuperSonics,84,New Orleans Hornets,86,Box Score,,13630,
Wed Nov 6 2002,9:00p,Atlanta Hawks,88,Phoenix Suns,93,Box Score,,14685,
Wed Nov 6 2002,9:00p,Detroit Pistons,80,Utah Jazz,78,Box Score,,15055,
Wed Nov 6 2002,9:30p,New Jersey Nets,93,Milwaukee Bucks,99,Box Score,,14539,
Wed Nov 6 2002,10:00p,Memphis Grizzlies,88,Portland Trail Blazers,94,Box Score,,19067,
Thu Nov 7 2002,7:30p,Los Angeles Lakers,95,Boston Celtics,98,Box Score,OT,18624,
Thu Nov 7 2002,8:00p,Milwaukee Bucks,110,Minnesota Timberwolves,114,Box Score,,14776,
Thu Nov 7 2002,10:00p,Detroit Pistons,89,Denver Nuggets,63,Box Score,,11982,
Fri Nov 8 2002,7:00p,New York Knicks,94,Indiana Pacers,107,Box Score,,15431,
Fri Nov 8 2002,7:00p,Seattle SuperSonics,98,Orlando Magic,105,Box Score,,14583,
Fri Nov 8 2002,7:00p,Cleveland Cavaliers,84,Philadelphia 76ers,108,Box Score,,17626,
Fri Nov 8 2002,7:30p,Los Angeles Clippers,92,New Jersey Nets,106,Box Score,,14334,
Fri Nov 8 2002,8:00p,Los Angeles Lakers,99,Washington Wizards,100,Box Score,,20173,
Fri Nov 8 2002,8:30p,Dallas Mavericks,114,Chicago Bulls,87,Box Score,,21028,
Fri Nov 8 2002,8:30p,Golden State Warriors,104,New Orleans Hornets,110,Box Score,,13505,
Fri Nov 8 2002,9:00p,Portland Trail Blazers,75,Phoenix Suns,86,Box Score,,15009,
Fri Nov 8 2002,9:00p,Atlanta Hawks,97,Utah Jazz,110,Box Score,,18107,
Fri Nov 8 2002,10:30p,Memphis Grizzlies,91,Sacramento Kings,99,Box Score,,17317,
Sat Nov 9 2002,7:00p,Toronto Raptors,84,Indiana Pacers,108,Box Score,,15365,
Sat Nov 9 2002,7:30p,Washington Wizards,93,Cleveland Cavaliers,79,Box Score,,20562,
Sat Nov 9 2002,8:00p,Seattle SuperSonics,84,Miami Heat,82,Box Score,,15313,
Sat Nov 9 2002,8:00p,Boston Celtics,105,Minnesota Timberwolves,99,Box Score,,15349,
Sat Nov 9 2002,8:30p,New Jersey Nets,93,Chicago Bulls,100,Box Score,,22126,
Sat Nov 9 2002,8:30p,Detroit Pistons,75,Dallas Mavericks,114,Box Score,,19644,
Sat Nov 9 2002,8:30p,Golden State Warriors,104,Houston Rockets,111,Box Score,,14134,
Sat Nov 9 2002,8:30p,Philadelphia 76ers,105,Milwaukee Bucks,110,Box Score,OT,16782,
Sat Nov 9 2002,8:30p,Portland Trail Blazers,95,San Antonio Spurs,76,Box Score,,18781,
Sat Nov 9 2002,9:00p,Memphis Grizzlies,73,Denver Nuggets,84,Box Score,,16179,
Sun Nov 10 2002,4:00p,New Orleans Hornets,97,New York Knicks,91,Box Score,OT,18653,
Sun Nov 10 2002,5:00p,Los Angeles Clippers,120,Orlando Magic,117,Box Score,,13571,
Sun Nov 10 2002,9:00p,Atlanta Hawks,97,Sacramento Kings,105,Box Score,,17317,
Mon Nov 11 2002,7:00p,Utah Jazz,95,Boston Celtics,112,Box Score,,15595,
Mon Nov 11 2002,8:00p,Golden State Warriors,108,Memphis Grizzlies,101,Box Score,,10112,
Mon Nov 11 2002,8:30p,Portland Trail Blazers,73,Dallas Mavericks,82,Box Score,,19548,
Mon Nov 11 2002,8:30p,Minnesota Timberwolves,75,San Antonio Spurs,91,Box Score,,15594,
Tue Nov 12 2002,7:00p,Cleveland Cavaliers,75,Indiana Pacers,95,Box Score,,14877,
Tue Nov 12 2002,7:00p,Toronto Raptors,115,Orlando Magic,109,Box Score,,13402,
Tue Nov 12 2002,7:00p,Seattle SuperSonics,101,Washington Wizards,95,Box Score,,20173,
Tue Nov 12 2002,7:30p,New Orleans Hornets,87,Detroit Pistons,93,Box Score,,16224,
Tue Nov 12 2002,7:30p,Los Angeles Clippers,101,Miami Heat,82,Box Score,,15022,
Tue Nov 12 2002,7:30p,Utah Jazz,108,New York Knicks,87,Box Score,,17913,
Tue Nov 12 2002,8:30p,Portland Trail Blazers,83,Houston Rockets,86,Box Score,,9838,
Tue Nov 12 2002,10:30p,Atlanta Hawks,95,Los Angeles Lakers,83,Box Score,,18997,
Wed Nov 13 2002,7:00p,Philadelphia 76ers,81,Boston Celtics,91,Box Score,,16721,
Wed Nov 13 2002,7:00p,Dallas Mavericks,103,Cleveland Cavaliers,99,Box Score,,12764,
